building_id,tree_id,dist,cnt,b_loc,t_loc
4433908,55815,0,56,0106000020E61000000100000001030000000100000006000000B9DFF76C505C0240F16347F8326A4840DA98856FA65C0240F706B58E316A4840F71AF47D705C024090104E01306A4840600242515C5C02405B3EA6D2306A4840797E30803D5C0240410D0050316A4840B9DFF76C505C0240F16347F8326A4840,0101000020E6100000D16406E1645C02409F614EBB306A4840
4433909,390407,7.47669592,488,0106000020E6100000010000000103000000010000000E0000006A21CAB9DF6802404545D5C7756A4840C827F894D5680240F69B6874766A4840B4A9411BD6680240E807CB56776A4840D0C82F1FDD68024038D556EE776A484014F768DEEE680240E6424170786A4840F92E60BC006902401907D662786A484057BBE6A8126902402F938511786A4840094D5BD22A690240B43820A3786A48405FCFF69F386902403CD8448D776A48409DBC8F7B1B690240F1DD90E4766A48401610E7E6156902409A069C45766A484040D6922F096902408C0B719E756A48400D843480EF680240EED3DC7D756A48406A21CAB9DF6802404545D5C7756A4840,0101000020E6100000AD3DA2F8E76802407CED824F736A4840
4433910,181111,29.1051108,81,0106000020E610000001000000010300000001000000100000000013AFDDF834024008874C29D66A484032EF999D2635024087E82A6DDC6A48400AA9887145370240D3D3D216D66A4840FEF2EC49D837024022D31533D46A4840D6076C35AC3702409D53970ED06A48405BFCA18A7D370240DE92DFEACD6A484037107B4848370240FE612183CC6A484081FA3B811137024019EADC84CB6A48400CB8E2E4DE360240F899CC0ECB6A48403D572FD7AC3602408A70DB4DCB6A4840B9FB1A997D3602400787FFC1CB6A48409D565E39F53502400865E2BDCE6A4840A389BA7D093602400D96DFC0D06A4840DE6F11FD3B350240BA7E8908D36A48407891A51949350240DD4FEC19D56A48400013AFDDF834024008874C29D66A4840,0101000020E6100000F4925B333E380240309F8FACDB6A4840
4433911,150296,2.78876283,97,0106000020E6100000010000000103000000010000000500000053D03B1B65360240566D6463B96A4840EBF581E2BA35024043536AA0BD6A48407574D5B8D735024005113CA4BF6A484021793CC6843602403393A985BB6A484053D03B1B65360240566D6463B96A4840,0101000020E6100000BC2EB144CA35024046DBA848BC6A4840
4433912,15146,29.72452986,69,0106000020E6100000010000000103000000010000000B00000033A7F4D21632024075BF07ABE06A48406713DB0C8A30024087736F70E56A48408FC51E5A9D3002404E760792E86A4840409F7F437530024015EDC1F7E86A4840856FAC4880300240FC8E96CCEA6A4840D84C22C103320240A626EA1CE66A4840773C42F9F7310240E3A9D27CE46A48408CE479C446320240CC7B697CE36A4840B453A17A3E320240858D3137E26A4840F62CB61F2132024041985587E26A484033A7F4D21632024075BF07ABE06A4840,0101000020E6100000A34253E136300240B6547A04F36A4840
4433914,396928,30.52383096,104,0106000020E6100000010000000103000000010000000A00000005F164FA3F6D0240BFE8188E1E6B48407992332F5E6D0240B0BAF1971D6B4840CE08A52E876D02407AE6C99C1F6B48406385AE83CB6D02405833C6651D6B484084D637AEF16D024063032D4C1F6B4840925B769B106E0240F2468B4E1E6B4840D4F827B9DD6D024059C7FAC01B6B4840DD41B148046D02408230661E1D6B48408B7CB3043A6D024028CCC6B31F6B484005F164FA3F6D0240BFE8188E1E6B4840,0101000020E6100000C53BC093166E024027742B12136B4840
4433915,196842,18.81059158,23,0106000020E61000000100000001030000000100000007000000134B91FE71290240D96D049C236B4840EB37B8FA1C29024051E159AA236B4840361D37A5202902403EF1B29E296B48402FB3B9AD3F2902401F0103C4316B484058C1F9FE8C290240E893DBFF306B484049524F9D7529024073112CC5296B4840134B91FE71290240D96D049C236B4840,0101000020E61000006F0E161872290240876066F7366B4840
4433916,396938,46.13624572,57,0106000020E610000001000000010300000001000000050000004FBF8B5D0155024088898427466B48403A77EE443A550240D1440E44476B484047D051B5735502400F5878A1426B48409AC1B9A73D550240E759BF8C416B48404FBF8B5D0155024088898427466B4840,0101000020E61000005C1723B7CB5302400388AA81416B4840
4433917,177695,9.99373296,82,0106000020E61000000100000001030000000100000006000000025B7E3C906E0240ECD51413266B4840F5502228AF6E0240FB06FE1C256B48408D66548F7E6E0240CCBB1EE2216B484095A97D06636E0240E3BBC95E206B48409A68A64D346E0240BD1907BD216B4840025B7E3C906E0240ECD51413266B4840,0101000020E6100000D4CFB804A96E024051F608D6286B4840
4433918,158073,101.34984718,0,0106000020E610000001000000010300000001000000050000009D178F280C7E024009DA5E12916B48403752F04C437E02407D7389CD936B4840B2F4B015777E024041564524926B4840A25A5A88397E02402AB2E1518F6B48409D178F280C7E024009DA5E12916B4840,0101000020E6100000A98C4AD9BB7E0240D934DE3FB16B4840
4433919,177695,29.09591231,105,0106000020E6100000010000000103000000010000000E00000005F164FA3F6D0240BFE8188E1E6B4840F3AF46DB8A6D02401EFEF178226B48407BDC626CBE6D024085F24B2C256B4840C1BCBBC2F56D0240B3AA0C9A236B48409A68A64D346E0240BD1907BD216B484095A97D06636E0240E3BBC95E206B48403654E2C53A6E024046004B341E6B48404AEF6611296E02405DA4937D1D6B4840925B769B106E0240F2468B4E1E6B484084D637AEF16D024063032D4C1F6B48406385AE83CB6D02405833C6651D6B4840CE08A52E876D02407AE6C99C1F6B48407992332F5E6D0240B0BAF1971D6B484005F164FA3F6D0240BFE8188E1E6B4840,0101000020E6100000D4CFB804A96E024051F608D6286B4840
4433920,100944,3.26751673,76,0106000020E610000001000000010300000001000000070000009EF7239E4B3C0240B0C3BCCECF6B4840D3EECE522B3C024037C32579D06B48400F4F08EF3C3C024090C98899D16B48402FF8498B2F3B02400ADA6B5DD86B4840AEE7E3504C3B0240C55E35B4DA6B484015572EE27C3C024037560228D36B48409EF7239E4B3C0240B0C3BCCECF6B4840,0101000020E6100000BE3E35EFBD3B0240B355F002D96B4840
4433921,332770,8.7766441,195,0106000020E61000000100000001030000000100000005000000B52EFDDA7244024058697196DD6B484001C9FA3ECC440240135A9FA9E36B484031C2BDB8EE440240A1F322D2E26B48409725F009964402400AF391C6DC6B4840B52EFDDA7244024058697196DD6B4840,0101000020E610000069006F810445024026CC484BE56B4840
4433922,332756,4.28000031,202,0106000020E610000001000000010300000001000000060000009725F009964402400AF391C6DC6B484031C2BDB8EE440240A1F322D2E26B4840AAB18E80FD4402404C6510D4E36B4840FE7774E3434502403A1BAF1DE26B48404AD342C3E0440240987740D4DA6B48409725F009964402400AF391C6DC6B4840,0101000020E61000002A55A2EC2D450240DA624B1DE46B4840
4433923,332786,4.56326942,210,0106000020E61000000100000001030000000100000008000000B52EFDDA7244024058697196DD6B484095D0CBB53D44024023214EDDDE6B484010E9BC616244024032BC9007E16B484085E42F7755440240B13C3A4AE16B484040A025E89D4402406A1B7379E66B484098028D6FDC440240A68851C2E46B484001C9FA3ECC440240135A9FA9E36B4840B52EFDDA7244024058697196DD6B4840,0101000020E6100000FD4AE7C3B3440240AE33527DE76B4840
4433924,21663,84.29994105,39,0106000020E6100000010000000103000000010000000B0000002CF46B1B308A024026208FF3DC6B484042A1260F018B0240B4C30B08D16B48403D071CF4458B0240649C2CF1D26B4840142DEBC0728B0240E6AA1283D06B48406ED3C562D98A02406AEA6A09CC6B484074387B51A88A0240699D7E60CE6B4840C19424BEBF8A024022CEB217CF6B4840C6718464198A02405064CFD8D86B4840EC5967CB048A02400EE39547D86B4840045EBB2FDF890240AEDDFB79DA6B48402CF46B1B308A024026208FF3DC6B4840,0101000020E61000000C6E9E873A8B024063B4C285B36B4840
4433925,303157,109.5193239,10,0106000020E6100000010000000103000000010000000C000000B6321818E3520240D73AE405DA6C48400CC3C759D952024055849E1CDC6C4840355C7A9EE2520240E3BE2134DC6C48401F52791AD05202403A44E733DF6C4840EE1644574B53024018D314E6E06C484074FD68D26F530240E819BBB4E06C48405C4A04B42C5302401FFCEC58EA6C4840C06B7F6F985302408863D638E16C48403969891384530240B6A26B90DF6C4840ADB7B373655302408694591CDF6C4840AC150C4D7E5302405524588EDC6C4840B6321818E3520240D73AE405DA6C4840,0101000020E6100000BBE8D08EC0540240AA3B99FC056D4840
4433926,303132,17.75713002,72,0106000020E610000001000000010300000001000000110000005ED8C02CB95402407DE75A66E76C4840C03F3CDBF6540240131D7C9AE96C4840BD602C2C1F550240E96E2C34E86C48408C47C0396D5502406F025368E76C4840443887A07255024029D982DAE86C4840091A6B8B7F55024033C6D597E86C48404F52001DA955024062C64F4AEB6C4840551E5B86DA550240490B31C7EA6C4840A31E0B871E560240BF2DC5E9E66C4840DE62C2AC1E560240BA5C433CE66C48400EB340BFD755024036816C1FE76C4840B4E08AF5CE550240A00721D2E46C4840C7C943ACA4550240CE908E6CE56C4840F55EF9156355024066505EC0E46C48404767C41B36550240F9CD6296E46C48402C752861D1540240C4514C85E46C48405ED8C02CB95402407DE75A66E76C4840,0101000020E6100000D65988693A560240F2992534EE6C4840
